Canonical Type,Count,Lines,Raw Types
package:flutter_sixvalley_ecommerce/features/vendor/product/domain/repositories/category_repository.dart::CategoryRepository,1,1587,v_category_repository.CategoryRepository
package:flutter_sixvalley_ecommerce/features/vendor/ai/domain/repositories/ai_repository.dart::AiRepository,1,1591,v_ai_repository.AiRepository
UNKNOWN_PATH::AddAuctionProductRepository,1,1594,AddAuctionProductRepository
package:flutter_sixvalley_ecommerce/features/vendor/bank_info/controllers/bank_info_controller.dart::BankInfoController,1,1603,v_bank_info_controller.BankInfoController
package:flutter_sixvalley_ecommerce/features/vendor/delivery_man/controllers/delivery_man_controller.dart::DeliveryManController,1,1609,v_delivery_man_controller.DeliveryManController
package:flutter_sixvalley_ecommerce/features/vendor/review/controllers/product_review_controller.dart::ProductReviewController,1,1622,v_product_review_controller.ProductReviewController
package:flutter_sixvalley_ecommerce/features/vendor/addProduct/controllers/add_product_controller.dart::AddProductController,1,1628,v_add_product_controller.AddProductController
package:flutter_sixvalley_ecommerce/features/vendor/transaction/controllers/transaction_controller.dart::TransactionController,1,1632,v_transaction_controller.TransactionController
package:flutter_sixvalley_ecommerce/features/vendor/notification/controllers/notification_controller.dart::NotificationController,1,1634,v_notification_controller.NotificationController
package:flutter_sixvalley_ecommerce/features/vendor/order_details/controllers/order_details_controller.dart::OrderDetailsController,1,1638,v_order_details_controller.OrderDetailsController
package:flutter_sixvalley_ecommerce/core/localization/controllers/localization_controller.dart::LocalizationController,1,1645,v_localization_controller.LocalizationController
package:flutter_sixvalley_ecommerce/features/vendor/language/controllers/language_controller.dart::LanguageController,1,1647,v_language_controller.LanguageController
package:flutter_sixvalley_ecommerce/features/vendor/dashboard/controllers/bottom_menu_controller.dart::BottomMenuController,1,1652,v_bottom_menu_controller.BottomMenuController
package:flutter_sixvalley_ecommerce/features/vendor/clearance_sale/controllers/clearance_sale_controller.dart::ClearanceSaleController,1,1659,v_clearance_sale_controller.ClearanceSaleController
UNKNOWN_PATH::CustomerController,1,1661,CustomerController
package:flutter_sixvalley_ecommerce/features/vendor/pos/controllers/barcode_scan_controller.dart::BarcodeScanController,1,1665,v_barcode_scan_controller.BarcodeScanController
UNKNOWN_PATH::ShowBottomSheetController,1,1667,ShowBottomSheetController
package:flutter_sixvalley_ecommerce/common/controller/tutorial_controller.dart::TutorialController,1,1668,v_tutorial_controller.TutorialController
package:flutter_sixvalley_ecommerce/features/vendor/addProduct/controllers/variation_controller.dart::VariationController,1,1672,v_variation_controller.VariationController
package:flutter_sixvalley_ecommerce/features/vendor/addProduct/controllers/add_product_tax_controller.dart::AddProductTaxController,1,1679,v_add_product_tax_controller.AddProductTaxController
package:flutter_sixvalley_ecommerce/features/vendor/order_edit/controllers/order_edit_controller.dart::OrderEditController,1,1685,v_order_edit_controller.OrderEditController
package:flutter_sixvalley_ecommerce/features/vendor/auction/controllers/auction_ai_controller.dart::AuctionAiController,1,1688,v_auction_ai_controller.AuctionAiController
UNKNOWN_PATH::auctionTransactionRepo);,1,1698,auctionTransactionRepo);
UNKNOWN_PATH::auctionTransactionService);,1,1701,auctionTransactionService);
UNKNOWN_PATH::thirdPartyDeliverymanRepo);,1,1707,thirdPartyDeliverymanRepo);
UNKNOWN_PATH::thirdPartyDeliverymanService);,1,1710,thirdPartyDeliverymanService);
